Product,New Price,Original Price,Hot Favourite,Product image URL,Upload Time,Store Name
"Steelbook Blu-ray Films: John Wick: Chapter 2, Ghost in the Shell, Divergent",$6 each,$10 ,0,https://slickdeals.net/attachment/2/7/3/8/6/3/8/7/200x200/14939986.thumb,1 day ago,Best Buy
Blenders Polarized Sunglasses (Various),$20 ,$59 ,0,https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/200x200/14944276.thumb,about 19 hours ago,EyeDictive
12-Pack 18.8oz Campbell's Chunky Soup (various flavors),from $17.80,$24 ,0,https://static.slickdealscdn.com/attachment/1/1/7/1/5/2/7/200x200/14940634.thumb,about 19 hours ago,Amazon
"Roundtrip Flight: Washington, DC (IAD) to Paris, France (CDG)",from $282,$544 ,0,https://static.slickdealscdn.com/attachment/1/7/8/1/9/200x200/14942047.thumb,about 19 hours ago,Booking.com
"Apple Macbook Air 13 In. With M1 Chip 8-core Cpu 7-core Gpu 8gb Ram 256gb Ssd | Space Gray, Gold, or Silver | Shop The Exchange - $699",$699 ,$999 ,0,https://slickdeals.net/attachment/1/6/6/6/1/8/200x200/14941036.thumb,1 day ago,AAFES / Shop My Exchange
Gretsch G2655T Streamliner Center Block Jr. Double-Cut Bigsby Electric Guitar,$279 ,$549 ,0,https://static.slickdealscdn.com/attachment/9/5/3/2/3/200x200/14922571.thumb,about 19 hours ago,Adorama
Braun Series 3 310s Rechargeable Wet & Dry Electric Shaver,$34 ,$55 ,0,https://static.slickdealscdn.com/attachment/2/4/9/7/4/4/3/8/200x200/14932897.thumb,about 20 hours ago,Amazon
"Dell Inspiron 15 3520 Laptop: 15.6' FHD 120Hz, i5-1155G7, 8GB DDR4, 512GB SSD",$300 ,$510 ,0,https://static.slickdealscdn.com/attachment/2/6/8/0/6/1/2/1/200x200/14933899.thumb,about 20 hours ago,Micro Center
DJI Osmo Action 4 Standard Combo (Refurbished),$239 ,$399 ,1,https://slickdeals.net/attachment/1/0/9/8/7/5/9/200x200/14938906.thumb,2 days ago,DJI
Fender American Ultra Telecaster Electric Guitar (Arctic Pearl),"$1,499 ","$2,150 ",0,https://static.slickdealscdn.com/attachment/9/5/3/2/3/200x200/14943493.thumb,about 20 hours ago,Adorama
Carhartt Men's Force Relaxed Fit Lightweight Logo Graphic Hoodie (Various),$30 ,$60 ,0,https://static.slickdealscdn.com/attachment/3/1/7/1/9/9/0/1/200x200/14937040.thumb,about 21 hours ago,Carhartt
Fender Vintera '60s Mustang Electric Bass Guitar (Fiesta Red),$549 ,"$1,149 ",0,https://static.slickdealscdn.com/attachment/9/5/3/2/3/200x200/14943478.thumb,about 21 hours ago,Adorama
77” Samsung S89C 4K UHD 120Hz OLED Smart Tizen TV (2023 Model),"$1,800 ","$3,600 ",1,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14940892.thumb,1 day ago,Best Buy
"Metabo HPT 12"" 15A Dual Bevel Sliding Compound Corded Miter Saw w/ Laser Guide",$299 ,$449 ,0,https://static.slickdealscdn.com/attachment/1/1/7/1/5/2/7/200x200/14934898.thumb,about 22 hours ago,Amazon
"Sam's Club Members: 65"" TCL 65Q670G Q Class 4K QLED HDR Smart Google TV",$399 ,$700 ,0,https://static.slickdealscdn.com/attachment/2/0/3/9/8/9/0/6/200x200/14926447.thumb,about 22 hours ago,Sam's Club
Lee Men's Extreme Motion Long Sleeve Worker Shirt (Various),$15.40 ,$40 ,0,https://static.slickdealscdn.com/attachment/9/3/0/4/6/1/9/200x200/14939425.thumb,about 22 hours ago,Amazon
170-Oz Arm & Hammer Liquid Laundry Detergent (Clean Burst),$9.80 ,$16 ,0,https://slickdeals.net/attachment/3/1/7/4/5/4/0/4/200x200/14941972.thumb,1 day ago,Amazon
Amtrak Auto Train Flash Sale: One-Way Coach Fares from Northeast to Florida,from $35 + Cost of Vehicle,,1,https://static.slickdealscdn.com/attachment/1/7/8/1/9/200x200/14927242.thumb,about 22 hours ago,Amtrak
CRAFTSMAN 16-oz Fiberglass Hammer (CMHT51398),$7 ,$17 ,0,https://static.slickdealscdn.com/attachment/4/2/8/1/6/200x200/14940337.thumb,about 23 hours ago,Ace Hardware
3-Pack Sanrenmu Folding Pocket Knives Vol. 6,$22 ,$120 ,0,https://static.slickdealscdn.com/attachment/3/7/4/7/9/3/200x200/14928355.thumb,about 23 hours ago,Field Supply
Carlinkit 5.0 CPC200-2AIR (Enable Wireless Connectivity on your Carplay / Android Auto) - $36 shipped,$36 ,$84 ,0,https://slickdeals.net/attachment/3/3/2/6/7/0/200x200/14934067.thumb,3 days ago,Light In The Box
"440ml SodaStream Beverage Mix: 6-Pack Starry $15.60, 4-Pack (Various)",from $10.80,$14 ,0,https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/200x200/14933596.thumb,about 23 hours ago,Amazon
